=== LayoutEditor Debug Log Started at 12/22/2025 9:08:22 PM ===
[21:08:22.421] [SpatialRenderer] RenderZones called, zone count: 0
[21:08:22.443] MainWindow constructor completed successfully
[21:08:22.443] Window should be visible now
[21:08:34.535] [SpatialRenderer] RenderZones called, zone count: 0
[21:08:42.862] [SpatialRenderer] RenderZones called, zone count: 0
[21:08:48.176] [SpatialRenderer] RenderZones called, zone count: 0
[21:08:57.980] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:04.623] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:06.954] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:11.511] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:16.779] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:17.250] [SpatialRenderer] RenderZones called, zone count: 0
[21:09:28.055] [SpatialRenderer] RenderZones called, zone count: 0
[21:28:32.478] [SpatialRenderer] RenderZones called, zone count: 0
[21:28:33.158] [SpatialRenderer] RenderZones called, zone count: 0
[21:59:06.120] [SpatialRenderer] RenderZones called, zone count: 0
[21:59:08.573] [SpatialRenderer] RenderZones called, zone count: 0
[21:59:09.676] [SpatialRenderer] RenderZones called, zone count: 0
[21:59:10.974] [SpatialRenderer] RenderZones called, zone count: 0
[21:59:12.375] [SpatialRenderer] RenderZones called, zone count: 0
